"MARQUE_ID","MARQUE_ALIAS","MARQUE_NAME","MARQUE_NAME_URL","MARQUE_NAME_META","MARQUE_NAME_META_TITLE","MARQUE_LOGO","MARQUE_WALL","MARQUE_RELFOLLOW","MARQUE_SITEMAP","MARQUE_DISPLAY","MARQUE_SORT","MARQUE_TOP"
"143","rolls-royce","ROLLS-ROYCE","ROLLS-ROYCE","ROLLS-ROYCE","ROLLS-ROYCE","rolls-royce.webp",,"0","0","2","92","0"
"144","rover","ROVER","ROVER","ROVER","ROVER","rover.webp",,"0","0","2","93","0"
"145","saab","SAAB","SAAB","SAAB","SAAB","saab.webp","saab.jpg","1","1","1","94","0"
"146","santana","SANTANA","SANTANA","SANTANA","SANTANA",,,"0","0","0","96","0"
"147","seat","SEAT","SEAT","SEAT","SEAT","seat.webp","seat.jpg","1","1","1","97","1"
"150","skoda","SKODA","SKODA","SKODA","SKODA","skoda.webp","skoda.jpg","1","1","1","98","0"
"151","smart","SMART","SMART","SMART","SMART","smart.webp","smart.jpg","1","1","1","99","0"
"154","ssangyong","SSANGYONG","SSANGYONG","SSANGYONG","SSANGYONG","ssangyong.webp",,"0","0","2","100","0"
"157","subaru","SUBARU","SUBARU","SUBARU","SUBARU","subaru.webp",,"0","0","2","101","0"
"158","suzuki","SUZUKI","SUZUKI","SUZUKI","SUZUKI","suzuki.webp","suzuki.jpg","1","1","1","102","0"
"159","talbot","TALBOT","TALBOT","TALBOT","TALBOT",,,"0","0","0","103","0"
"160","tata","TATA","TATA","TATA","TATA",,,"0","0","3","104","0"
"162","tesla","TESLA","TESLA","TESLA","TESLA",,,"0","0","0","105","0"
"164","toyota","TOYOTA","TOYOTA","TOYOTA","TOYOTA","toyota.webp","toyota.jpg","1","1","1","106","1"
"166","triumph","TRIUMPH","TRIUMPH","TRIUMPH","TRIUMPH",,,"0","0","0","107","0"
"167","tvr","TVR","TVR","TVR","TVR",,,"0","0","0","108","0"
"169","umm","UMM","UMM","UMM","UMM",,,"0","0","0","109","0"
"170","vauxhall","VAUXHALL","VAUXHALL","VAUXHALL","VAUXHALL","vauxhall.webp",,"0","0","2","110","0"
"172","volvo","VOLVO","VOLVO","VOLVO","VOLVO","volvo.webp","volvo.jpg","1","1","1","112","0"
"173","volkswagen","VOLKSWAGEN","VOLKSWAGEN","VOLKSWAGEN","VW","volkswagen.webp","volkswagen.jpg","1","1","1","111","1"
"179","zastava","ZASTAVA","ZASTAVA","ZASTAVA","ZASTAVA",,,"0","0","0","113","0"
"180","zaz","ZAZ","ZAZ","ZAZ","ZAZ",,,"0","0","0","114","0"
"339","abarth","ABARTH","ABARTH","ABARTH","ABARTH","abarth.webp","abrath.png","1","0","1","1","0"
"353","amc","AMC","AMC","AMC","AMC",,,"0","0","0","8","0"
"410","chery","CHERY","CHERY","CHERY","CHERY",,,"0","0","3","24","0"
"434","dfsk","DFSK","DFSK","DFSK","DFSK",,,"0","0","3","34","0"
"441","ds","DS","DS","DS","DS","ds.webp",,"1","0","1","36","0"
"474","fpv","FPV","FPV","FPV","FPV",,,"0","0","0","41","0"
"592","maruti","MARUTI","MARUTI","MARUTI","MARUTI",,,"0","0","0","71","0"
"635","perodua","PERODUA","PERODUA","PERODUA","PERODUA",,,"0","0","0","83","0"
"667","samsung","SAMSUNG","SAMSUNG","SAMSUNG","SAMSUNG",,,"0","0","0","0","0"
